tourney_date,surface,tourney_level,round,winner_id,winner_name,winner_hand,winner_age,winner_height,winner_rank,winner_rank_points,winner_recent_wins,loser_id,loser_name,loser_hand,loser_age,loser_height,loser_rank,loser_rank_points,loser_recent_wins,winner_hard_exp,winner_clay_exp,winner_grass_exp,loser_hard_exp,loser_clay_exp,loser_grass_exp,rank_points_ratio,h2h_wins,target,rank_diff,exp_diff,recent_wins_diff,age_diff,momentum,rank_ratio,experience_gap,winner_days_since,loser_days_since,days_since_last_match,relative_momentum,rank_pressure,recovery_indicator
2000-02-04,Clay,D,RR,102450,Tim Henman,R,25.4,185.0,10.0,1614.0,4,101792,Slava Dosedel,R,29.5,183.0,49.0,733.0,3,4,0,0,3,0,0,2.2019099590723057,2,1,881.0,0,1,-4.100000000000001,0,2.2019099590723057,0.0,0.0,0.0,0.0,0.19607843137254896,881.0,0.0
2000-02-04,Clay,D,RR,102562,Jiri Novak,R,24.9,190.0,44.0,810.0,2,102965,Jamie Delgado,R,22.9,178.0,139.0,272.0,2,2,0,0,2,0,0,2.9779411764705883,1,1,538.0,0,0,2.0,0,2.9779411764705883,0.0,0.0,0.0,0.0,0.0,538.0,0.0
2000-02-04,Clay,D,RR,102562,Jiri Novak,R,24.9,190.0,44.0,810.0,2,102450,Tim Henman,R,25.4,185.0,10.0,1614.0,2,2,1,0,2,0,0,0.5018587360594795,3,1,-804.0,1,0,-0.5,0,0.5018587360594795,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-04,Clay,D,RR,103602,Fernando Gonzalez,R,19.5,183.0,414.0,61.0,0,102205,Sebastien Lareau,R,26.8,183.0,104.0,378.0,1,0,0,0,1,0,0,0.1613756613756613,1,1,-317.0,0,-1,-7.300000000000001,0,0.16137566137566137,0.0,0.0,0.0,0.0,-0.12048192771084336,0.0,-0.0
2000-02-04,Clay,D,RR,102239,Francisco Costa,R,26.6,180.0,153.0,250.0,0,103096,Arnaud Clement,R,22.1,173.0,42.0,824.0,3,0,0,0,3,0,0,0.3033980582524271,1,1,-574.0,0,-3,4.5,0,0.30339805825242716,0.0,0.0,0.0,0.0,-0.5454545454545454,0.0,-0.0
2000-02-04,Clay,D,RR,102765,Nicolas Escude,R,23.8,185.0,30.0,1026.0,6,102856,Gustavo Kuerten,R,23.4,190.0,5.0,2101.0,2,6,0,0,2,0,0,0.4883388862446454,1,1,-1075.0,0,4,0.40000000000000213,0,0.4883388862446454,0.0,0.0,0.0,0.0,2.8571428571428528,0.0,0.0
2000-02-04,Clay,D,RR,102856,Gustavo Kuerten,R,23.4,190.0,5.0,2101.0,0,102259,Jerome Golmard,L,26.4,188.0,34.0,970.0,1,0,0,0,1,0,0,2.165979381443299,3,1,1131.0,0,-1,-3.0,0,2.165979381443299,0.0,0.0,0.0,0.0,-0.25,1131.0,-0.0
2000-02-04,Clay,D,RR,103632,Luis Horna,R,19.4,180.0,186.0,191.0,0,102076,Mark Merklein,R,27.6,188.0,897.0,7.0,0,0,0,0,0,0,0,20.0,2,1,184.0,0,0,-8.200000000000003,0,27.285714285714285,0.0,0.0,0.0,0.0,0.0,184.0,0.0
2000-02-04,Clay,D,RR,103525,Ivan Miranda,R,19.9,175.0,756.0,13.0,0,108661,Dentry Mortimer,U,17.6,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,1,1,13.0,0,0,2.299999999999997,0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
2000-02-04,Clay,D,RR,101897,Fernando Meligeni,L,28.8,180.0,31.0,1015.0,0,101611,Cedric Pioline,R,30.6,188.0,14.0,1443.0,3,0,0,0,3,0,0,0.7033957033957033,1,1,-428.0,0,-3,-1.8000000000000007,0,0.7033957033957033,0.0,0.0,0.0,0.0,-1.0714285714285712,0.0,-0.0
