tourney_date,surface,tourney_level,round,winner_id,winner_name,winner_hand,winner_age,winner_height,winner_rank,winner_rank_points,winner_recent_wins,loser_id,loser_name,loser_hand,loser_age,loser_height,loser_rank,loser_rank_points,loser_recent_wins,winner_hard_exp,winner_clay_exp,winner_grass_exp,loser_hard_exp,loser_clay_exp,loser_grass_exp,rank_points_ratio,h2h_wins
2000-02-21,Clay,A,R32,102024,Hernan Gumy,R,28.0,188.0,67.0,622.0,2,102179,Antony Dupuis,R,27.0,185.0,95.0,428.0,4,2,0,0,4,0,0,1.4532710280373833,1
2000-02-21,Clay,A,R32,102227,Sargis Sargsian,R,26.7,180.0,57.0,703.0,3,102167,Juan Albert Viloca Puig,R,27.1,185.0,143.0,257.0,0,3,0,0,0,0,0,2.735408560311284,1
2000-02-21,Clay,A,R32,102839,Nicolas Lapentti,R,23.5,188.0,9.0,1641.0,5,102539,Bohdan Ulihrach,R,25.0,188.0,158.0,233.0,0,4,2,0,0,0,0,7.042918454935623,3
2000-02-21,Clay,A,R32,101897,Fernando Meligeni,L,28.9,180.0,29.0,1015.0,1,101843,Sergi Bruguera,R,29.1,188.0,377.0,72.0,0,0,1,0,0,0,0,14.09722222222222,1
2000-02-28,Clay,A,R32,102251,Mariano Hood,L,26.5,178.0,220.0,154.0,0,101843,Sergi Bruguera,R,29.1,188.0,360.0,77.0,1,0,0,0,0,1,0,2.0,1
2000-02-28,Clay,A,R32,102860,Agustin Calleri,R,23.5,183.0,138.0,281.0,0,102227,Sargis Sargsian,R,26.7,180.0,53.0,713.0,5,0,0,0,4,1,0,0.394109396914446,1
2000-02-28,Clay,A,R32,102135,Emilio Benfele Alvarez,R,27.3,183.0,133.0,289.0,0,102831,Jacobo Diaz,R,23.6,173.0,87.0,453.0,5,0,0,0,4,1,0,0.6379690949227373,1
2000-02-28,Clay,A,R32,101969,Orlin Stanoytchev,R,28.4,185.0,103.0,399.0,3,103082,Markus Hantschk,R,22.3,188.0,92.0,437.0,4,2,1,0,3,1,0,0.9130434782608696,1
2000-02-28,Clay,A,R32,102856,Gustavo Kuerten,R,23.5,190.0,6.0,2080.0,2,103444,Jean Rene Lisnard,R,20.4,173.0,146.0,261.0,2,0,2,0,2,0,0,7.969348659003831,2
2000-02-28,Clay,A,R32,102287,Albert Portas,R,26.3,188.0,85.0,463.0,1,102106,Davide Sanguinetti,R,27.5,188.0,115.0,335.0,4,1,0,0,3,1,0,1.382089552238806,1
2000-02-28,Clay,A,R32,103264,Mariano Puerta,L,21.4,180.0,84.0,470.0,4,102644,Franco Squillari,L,24.5,183.0,39.0,877.0,5,0,5,0,4,1,0,0.5359179019384265,2
2000-02-28,Clay,A,F,102856,Gustavo Kuerten,R,23.5,190.0,6.0,2080.0,2,103264,Mariano Puerta,L,21.4,180.0,84.0,470.0,3,0,3,0,2,1,0,4.425531914893617,1
2000-02-28,Clay,A,SF,103264,Mariano Puerta,L,21.4,180.0,84.0,470.0,4,103292,Gaston Gaudio,R,21.2,175.0,60.0,676.0,4,0,7,0,3,1,0,0.6952662721893491,1
2000-02-28,Clay,A,SF,102856,Gustavo Kuerten,R,23.5,190.0,6.0,2080.0,2,102287,Albert Portas,R,26.3,188.0,85.0,463.0,3,0,6,0,2,1,0,4.49244060475162,1
2000-02-28,Clay,A,QF,103292,Gaston Gaudio,R,21.2,175.0,60.0,676.0,6,102539,Bohdan Ulihrach,R,25.0,188.0,151.0,247.0,1,4,4,0,0,1,0,2.736842105263158,1
2000-02-28,Clay,A,QF,103264,Mariano Puerta,L,21.4,180.0,84.0,470.0,4,102950,Fernando Vicente,R,23.0,180.0,46.0,788.0,5,0,6,0,4,1,0,0.5964467005076142,2
2000-02-28,Clay,A,QF,102287,Albert Portas,R,26.3,188.0,85.0,463.0,1,102251,Mariano Hood,L,26.5,178.0,220.0,154.0,0,1,2,0,0,0,0,3.0064935064935066,1
2000-02-28,Clay,A,QF,102856,Gustavo Kuerten,R,23.5,190.0,6.0,2080.0,2,102860,Agustin Calleri,R,23.5,183.0,138.0,281.0,0,0,5,0,0,0,0,7.402135231316726,4
2000-02-28,Clay,A,R16,102539,Bohdan Ulihrach,R,25.0,188.0,151.0,247.0,1,101086,Ronald Agenor,R,35.3,180.0,88.0,445.0,5,0,2,0,4,1,0,0.5550561797752809,1
2000-02-28,Clay,A,R16,103292,Gaston Gaudio,R,21.2,175.0,60.0,676.0,6,103201,Adrian Garcia,R,21.8,175.0,422.0,61.0,1,4,3,0,0,1,0,11.081967213114757,1
2000-02-28,Clay,A,R32,103084,Guillermo Canas,R,22.3,185.0,70.0,606.0,1,103324,Arnaud Di Pasquale,R,21.0,185.0,57.0,696.0,2,0,1,0,1,1,0,0.8706896551724138,1
2000-02-28,Clay,A,R16,102950,Fernando Vicente,R,23.0,180.0,46.0,788.0,3,102720,Tomas Zib,R,24.1,178.0,111.0,366.0,4,3,1,0,4,0,0,2.1530054644808745,1
2000-02-28,Clay,A,R16,102287,Albert Portas,R,26.3,188.0,85.0,463.0,1,103084,Guillermo Canas,R,22.3,185.0,70.0,606.0,3,1,1,0,2,1,0,0.764026402640264,2
2000-02-28,Clay,A,R16,102251,Mariano Hood,L,26.5,178.0,220.0,154.0,0,103454,Nicolas Massu,R,20.4,183.0,101.0,415.0,2,0,1,0,2,0,0,0.3710843373493976,1
2000-02-28,Clay,A,R16,102860,Agustin Calleri,R,23.5,183.0,138.0,281.0,0,102135,Emilio Benfele Alvarez,R,27.3,183.0,133.0,289.0,1,0,1,0,1,0,0,0.972318339100346,1
2000-02-28,Clay,A,R16,102856,Gustavo Kuerten,R,23.5,190.0,6.0,2080.0,2,101969,Orlin Stanoytchev,R,28.4,185.0,103.0,399.0,5,0,4,0,4,1,0,5.213032581453634,1
2000-02-28,Clay,A,R32,102539,Bohdan Ulihrach,R,25.0,188.0,151.0,247.0,1,102701,Marcelo Rios,L,24.2,175.0,7.0,1845.0,0,0,1,0,0,0,0,0.1338753387533875,1
2000-02-28,Clay,A,R32,101086,Ronald Agenor,R,35.3,180.0,88.0,445.0,3,103602,Fernando Gonzalez,R,19.6,183.0,420.0,61.0,0,2,1,0,0,0,0,7.295081967213115,1
2000-02-28,Clay,A,R32,103201,Adrian Garcia,R,21.8,175.0,422.0,61.0,0,102869,Galo Blanco,R,23.4,173.0,77.0,548.0,3,0,0,0,2,1,0,0.1113138686131386,1
2000-02-28,Clay,A,R32,103292,Gaston Gaudio,R,21.2,175.0,60.0,676.0,6,102689,Martin Spottl,R,24.3,180.0,193.0,184.0,1,4,2,0,1,0,0,3.6739130434782608,1
2000-02-28,Clay,A,R32,102950,Fernando Vicente,R,23.0,180.0,46.0,788.0,3,101675,Martin Rodriguez,R,30.2,178.0,128.0,311.0,3,3,0,0,3,0,0,2.533762057877813,3
2000-02-28,Clay,A,R32,102720,Tomas Zib,R,24.1,178.0,111.0,366.0,2,101826,Alex Lopez Moron,R,29.3,175.0,116.0,335.0,2,2,0,0,2,0,0,1.0925373134328358,1
